From,Subject,Body,IsPhishing
"[('DHL-Express', 'Support@deccanplastic.com')]",Your package is waiting for delivery,"{'14': 1, '2021': 1, 'complete': 1, 'confirm': 1, 'confirmation': 1, 'days': 1, 'deliver': 1, 'delivery': 2, 'dh497586134': 2, 'dhl': 2, 'expires': 1, 'gmbh': 1, 'important': 1, 'international': 1, 'kind': 1, 'message': 1, 'online': 1, 'order': 1, 'package': 3, 'payment': 1, 'regards': 1, 'reserved': 1, 'rights': 1, 'services': 1, 'tracking': 1, 'waiting': 1}",1
"[('Standard Bank', 'statement@standardbank.co.za')]",Standard Bank Account eStatement 2021-03-10,"{'000738': 2, '06': 2, '0861': 2, '0861201311': 1, '0861201311our': 1, '1962': 2, '201': 2, '30': 2, '311': 2, '4pm': 2, '8am': 3, '9pm': 2, 'accepts': 2, 'access': 2, 'account': 2, 'acrobat': 2, 'addressee': 4, 'adobe': 4, 'advise': 2, 'africa': 2, 'arising': 2, 'asking': 2, 'attached': 2, 'attaching': 2, 'attachments': 4, 'authorised': 2, 'bank': 16, 'block': 2, 'change': 2, 'claiming': 2, 'clearly': 4, 'com': 2, 'communication': 2, 'confidential': 4, 'confidentiality': 2, 'contact': 2, 'context': 2, 'copyright': 2, 'cp15': 2, 'credit': 2, 'customer': 2, 'damages': 2, 'days': 2, 'dear': 2, 'delete': 2, 'disclaimer': 2, 'disclose': 2, 'displayed': 2, 'does': 2, 'doubts': 2, 'download': 2, 'effect': 2, 'electronic': 2, 'email': 18, 'emails': 2, 'errors': 2, 'estatement': 10, 'expressed': 2, 'features': 2, 'financial': 4, 'following': 2, 'forward': 2, 'free': 4, 'friday': 1, 'fridayand': 1, 'from8am': 1, 'group': 14, 'hereto': 2, 'holidays': 2, 'howsoever': 2, 'immediately': 4, 'incorrect': 2, 'incurred': 2, 'indicates': 2, 'information': 10, 'instruction': 2, 'integrity': 2, 'intended': 2, 'interception': 2, 'interference': 2, 'kindly': 2, 'know': 2, 'legitimacy': 2, 'liability': 2, 'limited': 6, 'lines': 2, 'loss': 2, 'mail': 2, 'mail_boundary': 1, 'manner': 2, 'mistake': 2, 'monday': 2, 'ncr': 2, 'need': 2, 'note': 4, 'notify': 2, 'open': 4, 'opinions': 2, 'phishing': 2, 'private': 2, 'prompted': 2, 'property': 2, 'provider': 4, 'public': 2, 'queries': 2, 'receipt': 2, 'receive': 6, 'reg': 2, 'regards': 2, 'registered': 2, 'reserved': 2, 'resulting': 2, 'rights': 4, 'safe': 2, 'security': 2, 'send': 2, 'sender': 4, 'services': 2, 'software': 2, 'south': 2, 'standard': 16, 'standardbank': 4, 'stated': 2, 'statement': 4, 'subsidiaries': 2, 'suffered': 2, 'sure': 2, 'thirty': 2, 'unless': 4, 'update': 2, 'use': 4, 'verification': 2, 'views': 2, 'viruses': 2, 'warrant': 2, 'weekends': 2, 'whatsoever': 6, 'wish': 2, 'writing': 2, 'www': 2, 'za': 3, 'zafor': 1}",1
"[('WeTransfer', 'pstanulov@admin.uni-sofia.bg')]",[SPAM] You have received a file via Wetransfer,"{'2021': 2, '23': 2, '370': 2, 'add': 2, 'address': 2, 'com': 2, 'contact': 2, 'deleted': 2, 'february': 2, 'files': 6, 'help': 2, 'jose': 2, 'legal': 2, 'list': 2, 'mail': 2, 'mail_boundary': 1, 'mails': 2, 'make': 2, 'mb': 2, 'monkey': 2, 'new': 1, 'noreply': 2, 'notice': 2, 'org': 2, 'page': 1, 'received': 4, 'report': 2, 'spam': 2, 'sure': 2, 'total': 2, 'transfer': 2, 'tuesday': 2, 'wetransfer': 6}",1
"[('monkey.org', 'admin@digi.com.kh')]",Your Email Account (jose@monkey.org) password is set to expire in 3 days,"{'2021': 2, '22': 1, 'account': 1, 'avoid': 1, 'best': 1, 'click': 1, 'confirm': 1, 'days': 1, 'email': 4, 'expire': 2, 'ignore': 1, 'interruptions': 1, 'jose': 1, 'joseyour': 1, 'login': 1, 'mail': 1, 'mar': 1, 'message': 1, 'monkey': 2, 'note': 1, 'org': 2, 'password': 2, 'recommend': 1, 'regards': 1, 'set': 1, 'setings': 1, 'settings': 1, 'team': 1}",1
"[('E*TRADE Support', 'yWd3nBl4Ld@charpmanshippingfoodllc.org')]",: You have A New Mail From  e*trade.,"{'2020': 1, 'account': 2, 'activities': 1, 'attached': 1, 'banking': 1, 'complete': 1, 'detected': 1, 'device': 2, 'download': 1, 'failed': 1, 'file': 1, 'follow': 1, 'helping': 1, 'information': 1, 'login': 1, 'multiple': 1, 'new': 1, 'online': 1, 'process': 1, 'protect': 1, 'protection': 1, 'protocol': 1, 'requested': 1, 'safe': 1, 'security': 2, 'team': 1, 'thank': 1, 'thanks': 1, 'trade': 1, 'type': 1, 'unregistered': 1, 'verification': 1, 'windows': 1}",1
"[('monkey.org', 'ship@astech-vn.com')]",jose@monkey.org have stopped processing incoming emails.,"{'19': 1, '2021': 1, '31': 1, '33': 1, 'account': 4, 'click': 1, 'copyright': 1, 'date': 1, 'email': 1, 'emails': 1, 'incoming': 1, 'jose': 1, 'monkey': 2, 'need': 1, 'org': 2, 'processing': 1, 'required': 1, 'services': 1, 'stopped': 1, 'use': 1, 'verify': 3}",1
"[('monkey.org', 'servicios.compras@afasa.com.mx')]",Your E-mail  Requestjose@monkey.org,"{'____________________________________________________': 1, '______________________________________________________________________': 1, 'address': 2, 'communication': 1, 'delivery': 3, 'email': 3, 'gateway': 1, 'gsuite': 1, 'hours': 1, 'inbox': 1, 'incoming': 1, 'isp': 1, 'jose': 5, 'login': 1, 'longer': 1, 'mandatory': 1, 'manner': 1, 'messages': 1, 'monkey': 6, 'new': 1, 'normal': 1, 'note': 1, 'office365': 1, 'org': 6, 'page': 1, 'password': 1, 'pending': 1, 'queued': 1, 'receive': 1, 'required': 1, 'restore': 1, 'secure': 1, 'servers': 1, 'service': 1, 'sincerely': 1, 'sure': 1, 'unsubscribe': 1, 'validate': 3, 'validated': 2, 'wish': 1, 'working': 1}",1
"[('Ministerio del Interior 775657', 'comunicacion77543@comunicacion19.souzldop.es')]",Bloqueo del Vehiculo - Multa no pagada,"{'1m5rus11m5ru1m5rusey1m5rus1m5rus1m5r1m1m5rusey61m5ruse1m5rus1m5rus1m5rus1m5rus1m5rus1m5rus': 6, '2021': 2, 'abra': 2, 'atencion': 2, 'copyright': 2, 'cordiales': 2, 'correo': 2, 'derechos': 2, 'dgt': 2, 'dirigida': 2, 'electronico': 2, 'en': 4, 'ha': 2, 'identificado': 2, 'jose': 4, 'la': 4, 'los': 2, 'mail_boundary': 1, 'monkey': 4, 'multa': 6, 'n_6591938994687194336992035350609166429780446412634767415650228123055382284275985341919815944340': 2, 'notificacion': 4, 'nuestro': 2, 'org': 4, 'pagada': 2, 'para': 4, 'pendiente': 4, 'reservados': 2, 'saludos': 2, 'se': 2, 'sistema': 4, 'su': 2, 'tienes': 2, 'todos': 2, 'trafico': 2, 'una': 4, 'usted': 2, 'vehiculo': 2, 'ver': 4, 'visite': 2, 'windows': 2}",1
"[('Email Service', 'project@yescoindia.com')]",Email Service Suspension Notification,"{'10': 1, '16': 1, '2021': 1, '26th': 1, '34': 1, '56': 1, 'account': 1, 'actions': 1, 'approval': 1, 'approved': 1, 'authorize': 1, 'automatically': 1, 'awaiting': 1, 'created': 1, 'delivered': 1, 'delivery': 3, 'desk': 1, 'detected': 1, 'encrypted': 1, 'error': 1, 'friday': 1, 'help': 1, 'inbox': 1, 'infrastructureaffected': 1, 'jose': 1, 'level': 1, 'list': 1, 'mail': 2, 'mailbox': 2, 'mails': 1, 'march': 1, 'message': 3, 'messages': 3, 'monkey': 3, 'org': 2, 'orgservice': 1, 'pending': 3, 'recieve': 1, 'report': 1, 'reserved': 1, 'restore': 1, 'rights': 1, 'server': 1, 'services': 1, 'software': 1, 'taken': 1, 'undelivered': 2, 'unsubscribe': 1, 'view': 1, 'wish': 1}",1
"[('E*TRADE Supports.', '4ebUCGKx44@izhartechnical.com')]",:You Have A New Message From E*TRADE!,"{'2021': 1, 'account': 1, 'attempt': 1, 'attempts': 1, 'authorize': 2, 'automatically': 1, 'banking': 1, 'click': 1, 'directly': 1, 'don': 1, 'email': 1, 'fmr': 1, 'generated': 1, 'invalid': 1, 'link': 1, 'llc': 1, 'log': 2, 'login': 1, 'mail': 2, 'message': 1, 'new': 1, 'online': 4, 'reply': 1, 'reserved': 1, 'rights': 1, 'security': 2, 'sincerely': 1, 'team': 1, 'trade': 3, 'verify': 1}",1
"[('USAA', 'no-reply@contentcreationnepal.com')]",Your account is currently under review.,"{'2981': 1, 'account': 3, 'add': 1, 'address': 1, 'affiliates': 1, 'association': 1, 'automobile': 1, 'banking': 1, 'blacked': 1, 'book': 1, 'booked': 1, 'care': 1, 'closed': 1, 'com': 2, 'complications': 1, 'contact': 1, 'customer': 2, 'dear': 1, 'delivery': 1, 'ending': 1, 'ensure': 1, 'inbox': 1, 'insurance': 1, 'investment': 1, 'mail': 1, 'mailcenter': 1, 'means': 1, 'member': 1, 'notice': 1, 'paperless': 1, 'reactivate': 1, 'recent': 1, 'regarding': 1, 'reply': 1, 'security': 2, 'service': 1, 'services': 1, 'thank': 1, 'till': 1, 'transaction': 1, 'transactions': 1, 'unit': 1, 'united': 1, 'usaa': 6, 'zoneusaa': 1}",1
"[('USAA', 'techsupport@seedandspark.com')]",Please visit our security center immediately.,"{'2981': 2, 'account': 6, 'add': 2, 'address': 2, 'affiliates': 2, 'association': 2, 'automobile': 2, 'banking': 2, 'blacked': 2, 'book': 2, 'booked': 2, 'care': 2, 'closed': 2, 'com': 4, 'complications': 2, 'contact': 2, 'customer': 4, 'dear': 2, 'delivery': 2, 'ending': 2, 'ensure': 2, 'inbox': 2, 'insurance': 2, 'investment': 2, 'mail': 2, 'mail_boundary': 1, 'mailcenter': 2, 'means': 2, 'member': 2, 'notice': 2, 'paperless': 2, 'reactivate': 2, 'recent': 2, 'regarding': 2, 'reply': 2, 'security': 4, 'service': 2, 'services': 2, 'thank': 2, 'till': 2, 'transaction': 2, 'transactions': 2, 'unit': 2, 'united': 2, 'usaa': 13, 'zone': 1, 'zoneusaa': 1}",1
"[('monkey.org', 'tr@accoladeweatherscreens.com.au')]",Important Update,"{'03': 4, '2021': 5, '29': 4, '773017357361': 1, 'actions': 1, 'advice': 1, 'alert': 1, 'automatically': 1, 'aw': 1, 'come': 1, 'confirmation': 1, 'contract': 1, 'cyber': 1, 'date': 1, 'days': 1, 'dear': 1, 'deleted': 1, 'deliver': 1, 'dhl': 1, 'email': 3, 'enable': 1, 'error': 2, 'express': 1, 'folder': 2, 'foy': 1, 'hold': 1, 'inbox': 2, 'incoming': 1, 'interrogation': 1, 'jose': 5, 'kindly': 1, 'lands': 1, 'listed': 1, 'message': 2, 'messages': 6, 'monkey': 6, 'note': 1, 'notification': 2, 'order': 1, 'org': 6, 'payment': 1, 'pending': 3, 'placed': 1, 'proper': 1, 'quarantined': 2, 'recipient': 1, 'regards': 1, 'release': 5, 'remittance': 1, 'replyif': 1, 'reserved': 1, 'rights': 1, 'sales': 1, 'security': 1, 'sent': 1, 'server': 3, 'shipment': 1, 'spam': 1, 'subject': 1, 'support': 1, 'taken': 1, 'team': 1, 'update': 2, 'view': 1}",1
"[('Microsoft Onedrive', 'info432123update@secure.com')]",Important Monetary Online Document.,"{'access': 1, 'confidential': 1, 'dear': 1, 'document': 3, 'mc': 1, 'mc_preview_text': 1, 'message': 1, 'microsoft': 2, 'monetary': 1, 'onedrive': 2, 'online': 1, 'secured': 1, 'sincerely': 1, 'subject': 1, 'user': 1, 'view': 1}",1
"[('DOMAIN SERVER', 'indoceanic@wanadoo.fr')]",jose@monkey.org.....,"{'2019': 2, 'access': 2, 'account': 6, 'activity': 6, 'app': 2, 'based': 2, 'best': 4, 'carrier': 2, 'check': 4, 'click': 2, 'copyright': 1, 'copyrightfd': 1, 'cpanel': 2, 'device': 6, 'didn': 2, 'different': 2, 'email': 2, 'guesses': 2, 'isp': 2, 'jose': 2, 'location': 4, 'locations': 2, 'mail_boundary': 1, 'monkey': 2, 'new': 2, 'note': 2, 'notification': 1, 'org': 1, 'orgnotification': 1, 'policy': 2, 'privacy': 2, 'protect': 2, 'reflect': 2, 'regards': 2, 'sign': 2, 'signed': 2, 'types': 2, 'unusual': 2, 'used': 2, 'wireless': 2}",1
"[('DOMAIN SERVER', 'indoceanic@wanadoo.fr')]",-Action Required- Email Notification For jose@monkey.org,"{'2019': 2, 'access': 2, 'account': 6, 'activity': 6, 'app': 2, 'based': 2, 'best': 4, 'carrier': 2, 'check': 4, 'click': 2, 'copyright': 1, 'copyrightfd': 1, 'cpanel': 2, 'device': 6, 'didn': 2, 'different': 2, 'email': 2, 'guesses': 2, 'isp': 2, 'jose': 2, 'location': 4, 'locations': 2, 'mail_boundary': 1, 'monkey': 2, 'new': 2, 'note': 2, 'notification': 1, 'org': 1, 'orgnotification': 1, 'policy': 2, 'privacy': 2, 'protect': 2, 'reflect': 2, 'regards': 2, 'sign': 2, 'signed': 2, 'types': 2, 'unusual': 2, 'used': 2, 'wireless': 2}",1
"[('Indeed', 'it@mailscaleway.xosignals.com')]",Indeed account update for jose@monkey.org,"{'2021': 1, '6433': 1, '78750': 1, 'account': 1, 'address': 2, 'assistance': 1, 'attached': 1, 'austin': 1, 'building': 1, 'champion': 1, 'confirm': 1, 'contact': 1, 'download': 1, 'email': 2, 'file': 2, 'grandview': 1, 'help': 1, 'log': 1, 'need': 1, 'policy': 1, 'privacy': 1, 'terms': 1, 'thanks': 1, 'tx': 1, 'update': 1, 'using': 1, 'verify': 1, 'way': 1}",1
