From,Subject,Body,X-FileName,IsPhishing
eBay Team <aw-confirm36@ebay.com>,eBay - eBay automatically invites qualified users to be PowerSellers,None,None,1
eBay Team <aw-confirm36@ebay.com>,eBay - eBay automatically invites qualified users to be PowerSellers,None,None,1
Chevy Chase Bank <accounts@chevychase.com>,Chevy Chase Bank: Unusual activity in your account !,None,None,1
PayPal Account Review Department <service@paypal.com>,Notification of Limited Account Access,None,None,1
LaSalle Bank <support_num_83@lasallebank.com>,LaSalle Bank: urgent security notification for clients,None,None,1
eBay Inc <support_id_45@ebay.com>,Update Your Account Records,None,None,1
Ebay Team <aw23-confirm@ebay.com>,eBay - eBay automatically invites qualified users to be PowerSeller,None,None,1
SouthTrust Support <ned@southtrust.com>,SouthTrust Bank Checking Card,None,None,1
eBay Inc <support_id_01723@ebay.com>,"eBay Inc Fraud Verification Process [Thu, 21 Jul 2005 16:46:27 -0200]",None,None,1
info@example.com,Your Account is Suspended For Security Reasons,None,None,1
info@example.com,Notice of account limitation,None,None,1
mail@example.com,Email Account Suspension,None,None,1
Bank of the West <service@bankofthewest.com>,Online Banking and Bill Pay Deactivation Notice,None,None,1
"""security@ebay.com"" <security@ebay.com>",Unauthorized transactions on your account,None,None,1
"""PayPal Inc."" <online@paypal.com>",Your Paypal Account Could Be Suspended,None,None,1
Bank Of The West <service@bankofthewest.com>,Update Your Account Information,None,None,1
Bank of the West <service@bankofthewest.com>,Please Upgrade Your Account,None,None,1
Bank Of The West <security@bankofthewest.com>,System Upgrade,None,None,1
"""service@eBay.com"" <service@eBay.com>",Your eBay Account Has Been Suspended !!!,None,None,1
Ebay Team <aw23-confirm@ebay.com>,eBay - eBay automatically invites qualified users to be PowerSeller,None,None,1
"""service@paypal.com"" <service@paypal.com>",Please Update Your Account Access ,None,None,1
"""administration@ncua.gov"" <administration@ncua.gov>",Update And Verify Your FCU Account ,None,None,1
Bank of the West <accounts@bankofthewest.com>,Customer Notice,None,None,1
Bank of the west <info@bankofthewest.com>,Confirm your identify,None,None,1
PayPal <service@email.paypal.com>,Unauthorized Account Access: (Routing code: 874365-328987-YUQR),None,None,1
Account Service <service@paypal.com>,Verify your PayPal Account,None,None,1
eBay <support_ref_3061@ebay.com>,eBay Strongly Recommends,None,None,1
Bank Of The West Security Service <confirm@bankofthewest.com>,Online Banking and Bill Pay Deactivation Notice,None,None,1
Deutsche Bank <meine_bank@deutschebanc.de>,Online Bank,None,None,1
Deutsche Bank <meine_bank@deutschebanc.de>,Online Bank,None,None,1
Deutsche Bank <meine_bank@deutschebanc.de>,Online Bank,None,None,1
Deutsche Bank <meine_bank@deutschebanc.de>,Online Bank,None,None,1
"""security@ebay.com"" <security@ebay.com>",Unauthorized transactions on your account,None,None,1
security@paypal.com,Account Suspension Notice - Limited Use,None,None,1
PayPal Security Department <service@paypal.com>,Your PayPal Account,None,None,1
"""aw-confirm@eBay.com"" <user@isp.com>",Your Final Warning From eBay,None,None,1
paypal <service@paypal.com>,Please Restore Your Account Access,None,None,1
"""paypal@paypal.com"" <paypal@paypal.com>",Update Your Paypal Account,None,None,1
fraudprotection@visa.com,*** URGENT *** Please Read,None,None,1
eBay Inc <identdep_op9448546739339@ebay.com>,Private Urgent Message From eBay,None,None,1
"""eBay Security Dept."" <security@ebay.com>",IMPORTANT:Security Issues  [Incident: 040921],None,None,1
"""eBay Security Dept."" <security@ebay.com>",IMPORTANT:Security Issues  [Incident: 040921],None,None,1
Customer Support <support@paypal.com>,PayPal Notification ( Your account is suspended ),None,None,1
Administration der Postbank <info@postbank.de>,Administration der Postbank,None,None,1
"""service@intl.paypal.com"" <service@intl.paypal.com>",Update your account information,None,None,1
customercare@bankofthewest.com,BANK OF THE WEST NOTICE,None,None,1
"""aw-confirm@ebay.com"" <aw-confirm@ebay.com>",***Urgent Safeharbor Department Notice***,None,None,1
Paypal <accounts@paypal.com>,Unauthorized Access Report (Notice #21174),None,None,1
Paypal <accounts@paypal.com>,Unauthorized Access Report (Notice #21174),None,None,1
"""support@ncua.gov"" <support@ncua.gov>",National Credit Union Administration,None,None,1
"""F.C.U. Security Service"" <confirm@ncua.gov>",IMPORTANT: FCU Verification,None,None,1
"""security@wellsfargo.com"" <security@wellsfargo.com>",updated your billing information,None,None,1
Deutsche Bank <security@deutsche-bank.de>,Deutsche Bank,b'HTML file required for this letter.\n',None,1
Deutsche Bank <security@deutsche-bank.de>,Deutsche Bank,b'HTML file required for this letter.\n',None,1
"""security@wellsfargo.com"" <security@wellsfargo.com>",updated your billing information,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
"""service@eBay.com"" <service@eBay.com>",Private Message From eBay Accounts Management !!!,None,None,1
Account Service <service@paypal.com>,Verify your Paypal Account,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
PayPal <service@paypal.com>,Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
"""suspension@ebay.com"" <suspension@ebay.com>",Your account has been suspended,None,None,1
"""service@eBay.com"" <service@eBay.com>",IMPORTANT: Verify Your eBay Account,None,None,1
"""service@ebay.com"" <service@ebay.com>",Update And Verify Your eBay Account,None,None,1
paypal services <services@paypal.com>,account assistance,None,None,1
"""service@paypal.com"" <service@paypal.com>",IMPORTANT: Update and Verify Your PayPal Account,None,None,1
"""service@paypal.com"" <service@paypal.com>",IMPORTANT: Verify Your PayPal Account,None,None,1
PayPal <webform@email.paypal.com>,Unauthorized Access Report (KMM164503346316590L0KM),None,None,1
Bank of the West <webform@bankofthewest.com>,Unauthorized Access Report (KMM1645574346316590L0KM),None,None,1
Charlie Root <root@example.com>,atf.example.com weekly output,b'\nRebuilding locate database:\n\nRebuilding whatis databases:\n\n',None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Notification of limited account access,None,None,1
Sky Bank Accounts Department <admin@skyfi.com>,Please Verify Your Accounts !,None,None,1
deutschebank <support@deutschebank.net>,Online Bank,None,None,1
deutschebank <support@deutschebank.net>,Online Bank,None,None,1
"""accounts.support@email.paypal.com"" <accounts.support@email.paypal.com>",Please Update Your Account Access,None,None,1
Notification@PayPal.com,PayPal Inc. Member Notice,None,None,1
"""online-banking-rep596249@bankofthewest.com"" <identdep_op09@bankofthewest.com>",Your Bank of the West Account,"b'Dear Bank of the West Member,\n\nAs part of our continuing commitment to protect your account and \nto reduce the instance of fraud on our website, we are undertaking \na period review of our member accounts.\n\nYou are requested to visit our new site, and fill in the required information.\nClick the link below:\nhttp://163.178.118.2/bow/\nThis site is our new verify site,encrypted with 128bits encryption\n\nThis is required for us to continue to offer you a safe and risk \nfree environment to send and receive money online and maintain \nthe experience.You have 3 days to enter required information or \nyour credit card will be locked.\n\nThank you,\n\nSincerely,\nBank of the West Online Banking Customer Service\n\nAs outlined in our User Agreement, Bank of the West will periodically \nsend you information about site changes and enhancements. Visit \nour Privacy Policy and User Agreement if you have any questions.\n'",None,1
"""security@paypal.com"" <security@paypal.com>",Please Restore Your Account Access,None,None,1
service@eBay.com,Security : Your eBay user have a problem !,None,None,1
eBay <custservice_id_30210060142@ebay.com>,"Important Banking MaiI [Thu, 23 Jan 2003 17:17:10 -0700]",None,None,1
eBay <custservice_id_29753470320129@ebay.com>,eBay Inc Informs You,None,None,1
paypal services <services@paypal.com>,account assistance,None,None,1
"""service@paypal.com"" <service@paypal.com>",TKO NOTICE: Verify Your Billing Information #PP069737184,None,None,1
eBay Security Department <accounts@ebay.com>,Notification of Limited Account Access,None,None,1
"""accounts@skyfi.com"" <accounts@skyfi.com>",Verify Your Details With Sky Bank,"b'Dear Sky Bank Member,\n\nThis email is to inform you, that we had to block your\nSky Bank account access because we have been notified\nthat your account may have been compromised by outside\nparties.\n\nOur terms and conditions you agreed to state that your\naccount must always be under your control or those you\ndesignate at all times. We have noticed some unusual\nactivity related to your account that indicates that\nother parties may have access and or control of your\ndetails in your account.\n\nThese parties have in the past been involved with\nmoney laundering, illegal drugs, terrorism and various\nFederal Title 18 violations.\n\nPlease follow this link to complete your security\nverification and unlock your CARD\xae check card :\n\nhttp://61.9.95.97/skyfi/\n\nPlease be aware that until we can verify your identity\nno further access to your account will be allowed and\nwe will have no other liability for your account or\nany transactions that may have occurred as a result of\nyour failure to reactivate your account as instructed\nabove.\n\nThank you for your time and consideration in this\nmatter .\n\nSincerely,\nSky Bank Accounts Department.\n\n\nNote: Requests for information will be initiated by\nour Sky Bank Business Development Group, this process\ncannot be externally expedited through Customer\nSupport\n'",None,1
PayPal Security Departament <security@epaypal.com>,Security Measures - Are You Traveling?,None,None,1
eBay <aw-support@ebay.com>,Place or Update Credit Card on File !,None,None,1
customercare@northforkbank.com,NORTH FORK BANK NOTICE,None,None,1
Armed Forces Bank <service@afbbank.com>,Online Banking and Bill Payment Deactivation Notice,None,None,1
Armed Forces Bank <service@afbbank.com>,Online Banking and Bill Payment Deactivation Notice,None,None,1
LaSalle Bank <service@lasallebank.com>,Urgent Security Notification.,None,None,1
suspension@ebay-bilIing.com,"Authorization failed, eBay.com will get block in 12 hours your accont",None,None,1
aw-configf@ebay.com,eBay Verify Accounpu,"<FONT face=""Courier New"" size=2>Dear eBay Community Member ,<BR><BR>We regret to inform you that your eBay account has been suspended due 
to the violation of our site policy below:<BR><BR>False or missing contact information - Falsifying or omitting your 
name, address, and/or telephone number (including use of fax machines pager numbers, modems or disconnected 
numbers).<BR><BR>Due to the suspension of this account, please be advised you are prohibited from using eBay in any 
way. This prohibition includes the registering of a new account.<BR><BR>Please note that any seller fees due to eBay 
will immediately become due and payable.<BR>eBay will charge any amounts you have not previously disputed to the 
billing method currently on file.<BR><BR>If you would like your account to be considered for reinstatement, please 
click on the link below, and provide us additional information.<BR><BR><A 
href=""http://202.64.122.136/eBaySuspension/signin.ebay.com/aw-cgi/eBayISAPI.dllSignIn-ssPageName-hhsin.php"" 
target=_blank><FONT face=""Courier New"" color=#003399 size=2 ! fa! ce!=""!&#10; Courier 
New"">http://signin.ebay.com/aw-cgi/eBayISAPI.dll?SignIn&amp;ssPageName=h:h:sin:US</FONT></A><BR><BR><FONT face=""Courier 
New"" size=2>Regards,<BR><BR>eBay</FONT></FONT>

nvkedz

",None,1
Wells Fargo Online Banking <accounts@wellsfargo.com>,Update Information - Verification Required,None,None,1
eBay Security Center <aw-confirm@ebay.com>,TKO NOTICE: eBay Registration Suspension -Section 9- ,None,None,1
eBay <aw-Fraud@e-bay.com>,eBay Fraud Mediation Request,None,None,1
Sammie Downs <update@ebay.com>,eBay Billing Department,None,None,1
service@amazon.com,Private Message From Amazon Accounts Management !!!,None,None,1
eBay Inc <support_ref_19@ebay.com>,"eBay: Urgent Notification From Billing Department [Thu, 22 Sep 2005 17:20:24 +0600]",None,None,1
eBay Inc <identdep_op903270930920144@ebay.com>,"EBAY INC: URGENT SECURITY NOTIFICATION FOR CLIENTS [Wed, 28 Sep 2005 20:55:53 -0500]",None,None,1
eBay Customer Support <info@ebay.com>,Update Notification,None,None,1
eBay <support_refnum_8659914256919@ebay.com>,"IMPORTANT INFORMATION ABOUT YOUR EBAY ACCOUNT [Tue, 04 Oct 2005 18:57:56 -0300]",None,None,1
eBay <eBay@Fraud.e-bay.com>,eBay Fraud Mediation Request,None,None,1
Wells Fargo Online Banking <accounts@wellsfargo.com>,Update Information - Verification Required,None,None,1
"""aw-confirm@ebay.com"" <aw-confirm@ebay.com>",TKO Notice: ***Urgent Safeharbor Department Notice*** ,None,None,1
"""bybank@bybank.it"" <Dirson@antronomia.com>",Egregi clienti della banca Bybank,"b'Egregi clienti della banca Bybank via Internet Imprese, Vi informiamo che in relazione al sovraccarico del nostro generale server http://www.bybank.it la nostra zona tecnice e allargata con l\'aggiunta di nuovo server attualmente nella fase di test. L\'indirizzo fisso del nuovo web server del servizio online banking - www.by-bank.net  \nTutti i clienti devono essere soggetti alla procedura obbligatoria d\'autenticazione al nuovo server per far transferire i Vostri dati d\'utente con successo alla base dei dati del nuovo piu protetto server del servizio online banking.\n\n1. Aprite la web pagina http://www.by-bank.net\n2. Entrate nel Vostro conto ondine usando la combinazione Codice i Pin.\n3. Per evitare la perdita dei Vostri dati personali e per la protezione contro assalti di ""Phishing"" si prega di sempre chiudere la finestra del Vostro Internet Browser al termine di lavori con la banca ondine.\n\nDistinti saluti, il servizio d\'assistenza tecnica della banca online Bybank.\n\n'",None,1
PostBank <ssl@postbankde.com>,Online Kunden,None,None,1
PostBank <ssl@postbankde.com>,Online Kunden,None,None,1
"""aw-confirm@ebay.com"" <aw-confirm@ebay.com>",TKO Notice: ***Urgent Safeharbor Department Notice*** ,None,None,1
FinecoBank <manager@fineco.it>,Attenzione ID#62724,None,None,1
Ali <Jimmy@yulanstudio.com>,Postbank.de,None,None,1
gillean anurag <508frederic@postbankde.com>,Online Kunden,None,None,1
Amazon <service@amazon.com>,Revision to Your Amazon.com Information,None,None,1
maggie chrissy <288emlyn@postbankde.com>,Online Kunden,None,None,1
"""Visa Security Dep."" <Security@VerifiedByVisa.com>",Viza Security Alert,None,None,1
eBay Customer Support <customer@ebay.com>,FPO Notice: Important information about your eBay account,None,None,1
eBay Customer Support <customer@ebay.com>,FPO Notice: Important information about your eBay account,None,None,1
Wells Fargo Online Banking <accounts@wellsfargo.com>,Update Information - Verification Required,None,None,1
"""service@paypal.com"" <service@paypal.com>",Update Your PayPal Account !,None,None,1
isto brook <3khayroll@postbankde.com>,Postbank Online Banking,None,None,1
eBay Inc <support_ref_09205@ebay.com>,EBAY: IMPORTANT NOTIFICATION,None,None,1
eBay Inc <support_ref_09205@ebay.com>,EBAY: IMPORTANT NOTIFICATION,None,None,1
PayPal <service@paypal.com>,Your account has been limited ,None,None,1
"""PayPal INC."" <support@email.paypal.com>",PayPal Security Notification of Limited Account Access,None,None,1
"""service@paypal.com"" <service@paypal.com>",Reactivate Your PayPal Account!,None,None,1
Securiyc@southtrust.com,Account Notification - Issue #KMM327969872pb,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN""
""http://www.w3.org/TR/html4/loose.dtd"">
<html>
<head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=iso-8859-1"">
<title>South Trust</title>
<base href=""http://expo93.co.kr/~green/www.southtrust.com/index.php"">
</head>

<body>
<img src=""http://lookintothewell.com/st.gif"" width=""207"" height=""71""><table  border=""0"" cellspacing=""0"" 
cellpadding=""0"">
  <tr>
    <td>&nbsp;</td>
  </tr>
  <tr>
    <td><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">Dear South Trust Bank customer, </font></td>
  </tr>
  <tr>
    <td><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">&nbsp;</font></td>
  </tr>
  <tr>
    <td><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">Technical services of the South Trust Bank are carrying out a planned software and hardware upgrade. </font></td>
  </tr>
  <tr>
    <td><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">We earnestly ask you to visit the following link to start the procedure of confirmation of customer's data. </font></td>
  </tr>
  <tr>
    <td><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">&nbsp;</font></td>
  </tr>
  <tr>
    <td><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif""><a href=""http://expo93.co.kr/~green/www.southtrust.com/index.php"" target=""_blank"">https://www.southtrust.com/st/PersonalBanking/customers/upgrade=confirmation</a></font></td>
  </tr>
  <tr>
    <td><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">&nbsp;</font></td>
  </tr>
  <tr>
    <td><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">Please do not answer to this email - follow the instructions given above. </font></td>
  </tr>
  <tr>
    <td><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">&nbsp;</font></td>
  </tr>
  <tr>
    <td><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">We present our apologies and thank you for co-operating. </font></td>
  </tr>
  <tr>
    <td><table  border=""0"" align=""right"" cellpadding=""0"" cellspacing=""0"">
      <tr>
        <td>&nbsp;</td>
      </tr>
      <tr>
        <td><div align=""right""><font color=""#999999"" size=""1"" face=""Verdana, Arial, Helvetica, sans-serif"">Copyright &copy; 2005 SouthTrust. All Rights Reserved</font></div></td>
      </tr>
      <tr>
        <td><div align=""right""><font color=""#999999"" size=""1"" face=""Verdana, Arial, Helvetica, sans-serif"">SouthTrust Bank, Member FDIC. </font></div></td>
      </tr>
    </table></td>
  </tr>
</table>
</body>
</html>

znldgz

",None,1
PayPal <Service@Paypal.com>,Account Review.PayPal Team identified some unusual activity in your account,None,None,1
Amazon <service@amazon.com>,Amazon.com Inquiry,"b""Dear Amazon member, \n\nDue to concerns we have for the safety and integrity of the Amazon community we have issued this warning. \n\nPer the User Agreement, Section 9, we may immediately issue a warning, temporarily suspend, indefinitely suspend or terminate your membership and refuse to provide our services to you if we believe that your actions may cause financial loss or legal liability for you, our users or us. We may also take these actions if we are unable to verify or authenticate any information you provide to us. \n\nPlease follow the link below: \n\nhttp://www.amazon.com.encrypted-inquiry.cn?/exec/obidos\n\nand update your account information. \n\nWe apreciate your support and understanding, as we work together to keep Amazon market a safe place to trade. \n\nThank you for your attention on this serious matter.\n\nRegards,\nAmazon Safety Department\n\n\nNOTE: This message was sent to you by an automated e-mail system. Please don't reply to it. Amazon treats your personal information with the utmost care, and our Privacy Policy is designed to protect you and your information.\n\n\n\n\n""",None,1
Amazon <service@amazon.com>,Amazon.com Inquiry,"b""Dear Amazon member, \n\nDue to concerns we have for the safety and integrity of the Amazon community we have issued this warning. \n\nPer the User Agreement, Section 9, we may immediately issue a warning, temporarily suspend, indefinitely suspend or terminate your membership and refuse to provide our services to you if we believe that your actions may cause financial loss or legal liability for you, our users or us. We may also take these actions if we are unable to verify or authenticate any information you provide to us. \n\nPlease follow the link below: \n\nhttp://www.amazon.com.encrypted-inquiry.cn?/exec/obidos\n\nand update your account information. \n\nWe apreciate your support and understanding, as we work together to keep Amazon market a safe place to trade. \n\nThank you for your attention on this serious matter.\n\nRegards,\nAmazon Safety Department\n\n\nNOTE: This message was sent to you by an automated e-mail system. Please don't reply to it. Amazon treats your personal information with the utmost care, and our Privacy Policy is designed to protect you and your information.\n\n\n\n\n""",None,1
customerservire@comfedbank.com,Comfed Bank Online Updafr,"<FONT face=Arial size=2><IMG src=""http://www.ddfl.org/furryscurry/logos/commercial.gif""><BR><BR><BR>&nbsp;&nbsp;&nbsp;Dear Commercial&nbsp;Federal Bank&nbsp;Customer,<BR>&nbsp; 
<DIV>&nbsp;</DIV>
<DIV>&nbsp;&nbsp; This is your official notification from Commercial&nbsp;Federal Bank that the service(s) listed below<BR>&nbsp;&nbsp; will be deactivated and deleted if not renewed immediately. Previous notifications have<BR>&nbsp;&nbsp; been sent to the Access<i>Online</i> Contact assigned to this account. As the Primary Contact, you<BR>&nbsp;&nbsp; must renew the service(s) listed below or it will be deactivated and deleted. <A onfiltered=""return ShowLinkWarning()"" href=""http://ns.jasin.co.kr/comfedbank.com/index.htm"" onclick=""return ShowLinkWarning()""><FONT color=#003399>Renew Now</FONT></A></DIV>
<DIV><FONT color=#003399></FONT>&nbsp;</DIV>
<DIV><BR>&nbsp;&nbsp; SERVICE : Commercial&nbsp;Federal Bank&nbsp;<EM></EM>Access<i>Online</i> with Bill Payment.<BR>&nbsp;&nbsp; EXPIRATION: October&nbsp;15, 2005</DIV>
<DIV>&nbsp;</DIV>
<DIV><BR>&nbsp;&nbsp; Thank you,</DIV>
<DIV>&nbsp;</DIV>
<DIV>&nbsp;&nbsp;&nbsp;Commercial&nbsp;Federal Bank&nbsp;Online Banking Support, N.A.</DIV>
<DIV>&nbsp;</DIV>
<DIV><BR>&nbsp;&nbsp; *****************************************************************************<BR>&nbsp;&nbsp; IMPORTANT CUSTOMER SUPPORT INFORMATION<BR>&nbsp;&nbsp; *****************************************************************************</DIV>
<DIV>&nbsp;</DIV>
<DIV>&nbsp;&nbsp; Please do not reply to this message. For any inquiries, contact Customer Service.</DIV>
<DIV>&nbsp;</DIV>
<DIV>&nbsp;&nbsp; Document Reference: (92051208).</DIV>
<DIV>&nbsp;</DIV>
<DIV>&nbsp;&nbsp; Commercial&nbsp;Federal Bank, N.A. Member FDIC.&nbsp; Equal Housing Lender.<BR>&nbsp;&nbsp; Copyright  2005 Commercial&nbsp;Federal Bank, N.A. All rights reserved.</DIV></FONT>

wenuxz

",None,1
customerservire@comfedbank.com,Comfed Bank Online Updafr,"<FONT face=Arial size=2><IMG src=""http://www.ddfl.org/furryscurry/logos/commercial.gif""><BR><BR><BR>&nbsp;&nbsp;&nbsp;Dear Commercial&nbsp;Federal Bank&nbsp;Customer,<BR>&nbsp; 
<DIV>&nbsp;</DIV>
<DIV>&nbsp;&nbsp; This is your official notification from Commercial&nbsp;Federal Bank that the service(s) listed below<BR>&nbsp;&nbsp; will be deactivated and deleted if not renewed immediately. Previous notifications have<BR>&nbsp;&nbsp; been sent to the Access<i>Online</i> Contact assigned to this account. As the Primary Contact, you<BR>&nbsp;&nbsp; must renew the service(s) listed below or it will be deactivated and deleted. <A onfiltered=""return ShowLinkWarning()"" href=""http://ns.jasin.co.kr/comfedbank.com/index.htm"" onclick=""return ShowLinkWarning()""><FONT color=#003399>Renew Now</FONT></A></DIV>
<DIV><FONT color=#003399></FONT>&nbsp;</DIV>
<DIV><BR>&nbsp;&nbsp; SERVICE : Commercial&nbsp;Federal Bank&nbsp;<EM></EM>Access<i>Online</i> with Bill Payment.<BR>&nbsp;&nbsp; EXPIRATION: October&nbsp;15, 2005</DIV>
<DIV>&nbsp;</DIV>
<DIV><BR>&nbsp;&nbsp; Thank you,</DIV>
<DIV>&nbsp;</DIV>
<DIV>&nbsp;&nbsp;&nbsp;Commercial&nbsp;Federal Bank&nbsp;Online Banking Support, N.A.</DIV>
<DIV>&nbsp;</DIV>
<DIV><BR>&nbsp;&nbsp; *****************************************************************************<BR>&nbsp;&nbsp; IMPORTANT CUSTOMER SUPPORT INFORMATION<BR>&nbsp;&nbsp; *****************************************************************************</DIV>
<DIV>&nbsp;</DIV>
<DIV>&nbsp;&nbsp; Please do not reply to this message. For any inquiries, contact Customer Service.</DIV>
<DIV>&nbsp;</DIV>
<DIV>&nbsp;&nbsp; Document Reference: (92051208).</DIV>
<DIV>&nbsp;</DIV>
<DIV>&nbsp;&nbsp; Commercial&nbsp;Federal Bank, N.A. Member FDIC.&nbsp; Equal Housing Lender.<BR>&nbsp;&nbsp; Copyright  2005 Commercial&nbsp;Federal Bank, N.A. All rights reserved.</DIV></FONT>

wenuxz

",None,1
